Actual,Predicted
20,10.892462929911273
12,13.765635585249655
17,18.382464788387722
19,14.868245399043724
16,9.956246054489183
2,4.7492604388781405
10,8.691472779035013
16,16.913905068328603
14,12.452914655495759
12,10.927369767349907
6,5.711504096697191
11,12.42773885103578
11,12.79951449589157
12,12.022154252546324
1,12.7276329654402
21,20.269387940401124
21,17.272570120045614
8,5.948437272473182
3,3.7028390212947606
16,19.792837110863417
10,10.89079108535343
11,11.760953047909712
0,1.978591785772835
0,5.674194643737924
21,19.742402113052158
20,20.0780358706917
14,13.340793523326258
13,13.242213596590894
14,9.503146925458898
19,15.726318638386033
2,3.0867233480423426
12,12.915395222137134
11,10.765969804622005
19,17.036205486584564
20,15.138716161139666
15,16.83358190674676
12,15.097757475491292
4,10.522456546499564
1,4.044624068235744
5,4.622672957278743
1,10.979895659000361
19,11.226668207821264
2,5.7635933235589825
17,21.08163190808155
14,14.638990231549808
2,3.0555424926913073
9,12.759016359687129
17,16.759601192108626
1,3.938135176298325
21,10.808687170214395
1,5.353088499697475
0,5.0265514663727195
9,14.354914927665833
3,4.217674800365353
2,2.9974946996126874
6,2.561834717037808
6,10.633441352175888
16,17.53376955675762
1,7.665200692686447
0,4.165375904871263
10,9.035673461296975
16,16.867753622566703
18,18.90121104677751
3,0.38886224099910116
20,17.377493915763765
2,6.537799424876305
18,9.218810447687904
14,12.129746419061949
19,20.243152952235036
9,13.301164889435583
13,14.096546076333361
5,5.5592637071705235
3,0.8603501247584013
14,11.257181815391464
13,11.829774018798922
5,5.296904019798493
10,10.556424980721648
4,7.0066545871929335
5,2.6544738583011345
6,1.1319736158142213
12,12.640527414887757
7,9.649849508726138
17,19.29882877154954
17,19.123464116221818
12,7.411534525940951
10,11.560758709304702
18,18.239137095903665
21,10.147819254831486
19,19.9826474131809
13,9.079168734751134
12,12.413717581987589
19,18.297743256895455
6,0.8640070269687143
15,16.049304910145302
5,5.338463400264155
11,9.640698145732628
18,10.710484207221763
2,6.53419392543176
10,11.78948183584991
10,13.237044874207626
16,18.23925903646758
12,11.059022357763247
1,5.447358420094231
13,12.234294637049734
9,13.000534912699697
5,5.272726474518913
16,18.975213416389003
19,20.00469385473608
13,10.296974250278717
10,10.008409584090577
12,12.672777078520081
19,10.060260054837444
13,11.115586296482894
18,19.982415886468026
6,6.066816475243012
8,9.13768067873487
11,11.648607369508127
13,12.463784187368566
10,11.90441857947885
19,18.005800911590136
2,5.389473285422564
6,6.902286080538351
7,4.212674560740071
11,9.505954970586156
7,12.233319358393134
20,16.317498625428037
14,10.13007790524379
12,11.629726549026117
14,9.66068143262248
5,6.6461061693829855
17,17.500210044365282
15,15.254122024934471
14,10.796813989034908
11,11.368328672112156
7,4.842711824762697
13,8.61951902887822
15,17.18830743915832
12,11.706594391725453
14,8.161500181938028
1,9.89581903760682
20,22.28328449856084
20,20.190790270136517
9,13.750095516572411
1,9.786954237961455
18,18.342523769732313
2,4.2454923179176065
3,5.311487302097787
4,4.01563961956068
13,8.519400983362612
18,18.99434545034997
21,20.737358185100618
15,17.64092935705028
6,2.509701317903243
10,13.496850683573951
2,1.647629905453206
12,12.55547805143156
9,11.552575859485602
17,18.790031023192252
21,15.772824028126328
20,8.651218100120262
2,11.453995014823315
4,2.085002034373133
17,17.999449067779477
11,10.171835372038858
11,9.002379286710969
