Actual,Predicted
20,10.744195193972647
12,11.233044314140905
17,18.109636683134376
19,17.629631744079454
16,8.938240314408667
2,4.278828214251796
10,11.211140552013534
16,19.149190654915913
14,12.097476640151855
12,12.064431981030179
6,4.1299397389964945
11,11.248226615826976
11,10.664065543223476
12,11.22216136348635
1,10.75866282248578
21,17.130664669382657
21,16.404849994817702
8,4.602769885233849
3,4.889871067494447
16,17.13859717288379
10,10.927512913242087
11,11.762304897610441
0,5.515573038674252
0,3.9055790825305827
21,18.015757909394615
20,17.583185355021193
14,12.02497348712162
13,10.359992314118683
14,12.477919918593477
19,17.014565005617012
2,4.4759588443270415
12,11.984240610211698
11,12.318832978439136
19,15.51606458314169
20,17.901173470318856
15,19.546424959792702
12,11.093297347540261
4,11.02256775612911
1,4.595810939207226
5,3.5716045434811505
1,9.603162966423648
19,9.825376307741035
2,4.505361029879081
17,18.56961874467639
14,9.8687569002827
2,3.519097458595458
9,10.434585315382916
17,17.698531459749347
1,4.558624835020033
21,12.835845068097365
1,3.864927057055752
0,3.9860239104457555
9,12.351816175505308
3,3.3614806826548183
2,3.5656397348676894
6,3.8349183088553165
6,10.583080449013195
16,16.42627316728779
1,3.507636423880971
0,4.351966770512896
10,10.42158443728867
16,15.925970180408452
18,17.6703959576068
3,3.8727154862216153
20,15.390500874181225
2,4.213328134209707
18,7.173249852441839
14,11.575825746327993
19,18.976323192786282
9,10.742463170518045
13,10.81165759685988
5,4.77270109816042
3,5.0359996002711895
14,10.106267027453947
13,12.082422552052321
5,4.628917061505543
10,11.266110476172013
4,3.3665073024812875
5,5.28861246336562
6,4.270623447076021
12,12.005074753845797
7,11.445954887209725
17,17.011530156292174
17,17.649611539947934
12,11.778646557905109
10,9.758349264704446
18,19.188611795511783
21,12.868629313634823
19,18.35683731666039
13,11.890551666891788
12,10.582206083322111
19,17.940578201261882
6,3.9382187953207426
15,16.733618234579808
5,5.543632770654637
11,10.637318985008429
18,15.162722286474821
2,4.174261326869431
10,10.989118827855247
10,11.85848929684262
16,16.511543449059623
12,11.936794201967613
1,3.544127793576463
13,11.105420586808213
9,12.150766061843193
5,4.290155236250021
16,18.1606507546434
19,17.220793538049016
13,12.145744522795292
10,10.75626079073723
12,10.529555495038634
19,6.910293817608787
13,11.946940414140613
18,17.806628451724848
6,3.7328758291059403
8,11.348801531995111
11,9.778526576988494
13,12.1366141981614
10,11.600084111851613
19,17.7728322654487
2,5.299734441250607
6,3.4232893997522726
7,4.488294976195057
11,7.584237142300676
7,13.878377718062797
20,17.769083321963173
14,13.078057417050438
12,12.729481815474877
14,7.2224680988383945
5,4.050957143412513
17,16.808132006240058
15,16.691745592474923
14,13.001262897858116
11,10.714920405281838
7,4.679011282146826
13,12.252324827401015
15,17.908392575325998
12,11.537811712766377
14,14.344227865282797
1,10.704669688609517
20,17.367925464707064
20,17.248073130314317
9,10.739495453464203
1,10.404412859920855
18,18.28332621712744
2,4.254883902901043
3,5.2817549385133145
4,4.343088681016858
13,12.1864386730777
18,17.14178144065562
21,17.444122449174472
15,18.158699040957334
6,4.141789580243016
10,12.05609542643256
2,3.9841698995895642
12,10.273040543310444
9,10.694683171253274
17,18.084976475850034
21,15.715130242104905
20,9.246437983946912
2,13.650789157476861
4,4.301733806201621
17,18.36163251278102
11,11.174836122636535
11,11.046119174194153
